metric,Bias (RMSD of all gridpoints),Bias (RMSD of all gridpoints),Mean change (Future - Reference),Mean change (Future - Reference)
variable,Temperature (K),Precipitation (kg/m2/s),Temperature (K),Precipitation (kg/m2/s)
dataset,,,,
CMIP6_CNRM-CM6-1_r2i1p1f2,3.07E+00,1.83E-05,2.14E+00,-2.78E-07
CMIP6_CNRM-CM6-1_r3i1p1f2,2.96E+00,1.86E-05,1.92E+00,-5.20E-07
CMIP6_CNRM-CM6-1_r4i1p1f2,2.89E+00,1.86E-05,1.92E+00,-4.80E-07
CMIP6_CNRM-CM6-1_r5i1p1f2,2.94E+00,1.84E-05,1.83E+00,-6.37E-07
CMIP6_CNRM-CM6-1_r6i1p1f2,2.88E+00,1.86E-05,1.97E+00,-4.15E-07
CMIP6_CNRM-ESM2-1_r1i1p1f2,2.90E+00,1.88E-05,1.65E+00,-2.67E-07
CMIP6_CNRM-ESM2-1_r2i1p1f2,2.96E+00,1.84E-05,1.68E+00,-3.28E-07
CMIP6_CNRM-ESM2-1_r3i1p1f2,3.58E+00,1.83E-05,2.54E+00,6.61E-07
CMIP6_CNRM-ESM2-1_r4i1p1f2,3.28E+00,1.86E-05,2.72E+00,8.73E-07
CMIP6_CNRM-ESM2-1_r5i1p1f2,2.99E+00,1.85E-05,1.98E+00,1.88E-07
CMIP6_CanESM5-CanOE_r1i1p2f1,2.96E+00,1.70E-05,3.56E+00,2.14E-06
CMIP6_CanESM5-CanOE_r2i1p2f1,3.00E+00,1.70E-05,3.41E+00,1.86E-06
CMIP6_CanESM5-CanOE_r3i1p2f1,2.95E+00,1.70E-05,3.51E+00,2.35E-06
CMIP6_CanESM5_r10i1p1f1,2.93E+00,1.70E-05,3.46E+00,2.37E-06
CMIP6_CanESM5_r10i1p2f1,2.95E+00,1.68E-05,3.47E+00,2.01E-06
CMIP6_CanESM5_r11i1p1f1,2.96E+00,1.71E-05,3.36E+00,1.72E-06
CMIP6_CanESM5_r11i1p2f1,2.93E+00,1.67E-05,3.48E+00,1.87E-06
CMIP6_CanESM5_r12i1p1f1,2.96E+00,1.69E-05,3.25E+00,1.49E-06
CMIP6_CanESM5_r12i1p2f1,2.97E+00,1.68E-05,3.42E+00,2.17E-06
CMIP6_CanESM5_r13i1p1f1,2.98E+00,1.72E-05,3.15E+00,1.66E-06
CMIP6_CanESM5_r13i1p2f1,3.02E+00,1.71E-05,3.50E+00,2.38E-06
CMIP6_CanESM5_r14i1p1f1,2.94E+00,1.70E-05,3.24E+00,1.99E-06
CMIP6_CanESM5_r14i1p2f1,3.00E+00,1.68E-05,3.52E+00,2.48E-06
CMIP6_CanESM5_r15i1p1f1,3.00E+00,1.68E-05,3.36E+00,2.02E-06
CMIP6_CanESM5_r15i1p2f1,2.88E+00,1.68E-05,3.32E+00,1.87E-06
CMIP6_CanESM5_r16i1p1f1,2.92E+00,1.66E-05,3.41E+00,1.99E-06
CMIP6_CanESM5_r16i1p2f1,2.92E+00,1.71E-05,3.36E+00,2.15E-06
