dataset,tas_bias,pr_bias,tas_change,pr_change,project,member,model
CMIP5_IPSL-CM5A-LR_r2i1p1,4.56,1.5552000000000001,2.77,0.021945600000000003,CMIP5,r2i1p1,IPSL-CM5A-LR
CMIP5_IPSL-CM5A-LR_r3i1p1,5.02,1.58112,3.24,0.0196992,CMIP5,r3i1p1,IPSL-CM5A-LR
CMIP5_IPSL-CM5A-LR_r4i1p1,4.96,1.5724799999999999,2.96,0.0101952,CMIP5,r4i1p1,IPSL-CM5A-LR
CMIP5_IPSL-CM5A-MR_r1i1p1,3.46,1.5465600000000002,2.44,-0.022464,CMIP5,r1i1p1,IPSL-CM5A-MR
CMIP5_IPSL-CM5B-LR_r1i1p1,8.33,1.65024,3.16,0.061430399999999996,CMIP5,r1i1p1,IPSL-CM5B-LR
CMIP5_MIROC-ESM-CHEM_r1i1p1,3.41,1.5119999999999998,3.1,0.10195199999999999,CMIP5,r1i1p1,MIROC-ESM-CHEM
CMIP5_MIROC-ESM_r1i1p1,3.41,1.49472,3.14,0.126144,CMIP5,r1i1p1,MIROC-ESM
CMIP5_MIROC5_r1i1p1,3.57,1.53792,2.18,-0.00382752,CMIP5,r1i1p1,MIROC5
CMIP5_MIROC5_r2i1p1,3.68,1.53792,2.19,0.013824,CMIP5,r2i1p1,MIROC5
CMIP5_MIROC5_r3i1p1,3.52,1.5552000000000001,2.06,-0.00800064,CMIP5,r3i1p1,MIROC5
CMIP5_MPI-ESM-LR_r1i1p1,2.97,1.52064,1.75,-0.0114048,CMIP5,r1i1p1,MPI-ESM-LR
CMIP5_MPI-ESM-LR_r2i1p1,3.01,1.53792,1.84,-0.046915200000000004,CMIP5,r2i1p1,MPI-ESM-LR
CMIP5_MPI-ESM-LR_r3i1p1,2.94,1.52064,1.85,-0.0098496,CMIP5,r3i1p1,MPI-ESM-LR
CMIP5_MPI-ESM-MR_r1i1p1,2.99,1.52928,1.55,-0.0046224000000000005,CMIP5,r1i1p1,MPI-ESM-MR
CMIP5_MRI-CGCM3_r1i1p1,3.99,1.52928,2.0,0.0714528,CMIP5,r1i1p1,MRI-CGCM3
CMIP5_MRI-ESM1_r1i1p1,3.64,1.49472,1.83,0.0569376,CMIP5,r1i1p1,MRI-ESM1
CMIP5_NorESM1-ME_r1i1p1,3.17,1.39968,2.07,0.0144288,CMIP5,r1i1p1,NorESM1-ME
CMIP5_NorESM1-M_r1i1p1,3.23,1.41696,1.97,0.023328,CMIP5,r1i1p1,NorESM1-M
CMIP5_bcc-csm1-1-m_r1i1p1,4.1,1.58976,1.97,0.0330048,CMIP5,r1i1p1,bcc-csm1-1-m
CMIP5_bcc-csm1-1_r1i1p1,4.11,1.5465600000000002,2.22,0.02592,CMIP5,r1i1p1,bcc-csm1-1
CMIP5_inmcm4_r1i1p1,3.88,1.5552000000000001,1.19,-0.0132192,CMIP5,r1i1p1,inmcm4
CMIP6_ACCESS-CM2_r1i1p1f1,3.75,1.52928,2.87,0.057283200000000006,CMIP6,r1i1p1f1,ACCESS-CM2
CMIP6_ACCESS-CM2_r2i1p1f1,3.38,1.53792,2.63,0.0448416,CMIP6,r2i1p1f1,ACCESS-CM2
CMIP6_ACCESS-CM2_r3i1p1f1,3.43,1.52928,2.42,0.0405216,CMIP6,r3i1p1f1,ACCESS-CM2
